fiscal_year,cip_number,filename,bureau,source_code,source_name,amt_type,appropriated_amt,report_fy,offset_fy,boe_amt,cip_year_id,project_desc,project_title,location,operating_impact_amt
2008,127-030,2008cp.pdf,Mayoralty-Related,200,General Funds,Source,990000,2008,0,100000,127-030_2008,"This project is for the continued support of the City Council`s IT infrastructure, web site, replacement of equipment, legislative database system, and systems administrator to protect the integrity of the system.",City Council Information Technology Project,City Hall,NA
2008,127-086,2008cp.pdf,Mayoralty-Related,200,General Funds,Source,0,2008,0,-5000000,127-086_2008,"De-appropriate $5,000,000 from the $25.0 mil FY 2006 supplemental appropriation.",Schools Construction Renovations,Various,0
2008,127-103,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,0,127-103_2008,"The purpose of the project is to complete a feasibility assessment and construction documents for the adaptive re-use of the former PS 103, the elementary school attended by Thurgood Marshall.",PS 103- Thurgood Marshall`s First Public School,1315 Division Street,0
2008,127-103,2008cp.pdf,Mayoralty-Related,200,General Funds,Source,16000,2008,0,250000,127-103_2008,"The purpose of the project is to complete a feasibility assessment and construction documents for the adaptive re-use of the former PS 103, the elementary school attended by Thurgood Marshall.",PS 103- Thurgood Marshall`s First Public School,1315 Division Street,0
2008,127-103,2008cp.pdf,Mayoralty-Related,590,Other Federal Funds,Source,0,2008,0,0,127-103_2008,"The purpose of the project is to complete a feasibility assessment and construction documents for the adaptive re-use of the former PS 103, the elementary school attended by Thurgood Marshall.",PS 103- Thurgood Marshall`s First Public School,1315 Division Street,0
2008,127-103,2008cp.pdf,Mayoralty-Related,690,Other State Funds,Source,25000,2008,0,0,127-103_2008,"The purpose of the project is to complete a feasibility assessment and construction documents for the adaptive re-use of the former PS 103, the elementary school attended by Thurgood Marshall.",PS 103- Thurgood Marshall`s First Public School,1315 Division Street,0
2008,127-103,2008cp.pdf,Mayoralty-Related,800,City Motor Vehicle Revenue Funds,Source,0,2008,0,0,127-103_2008,"The purpose of the project is to complete a feasibility assessment and construction documents for the adaptive re-use of the former PS 103, the elementary school attended by Thurgood Marshall.",PS 103- Thurgood Marshall`s First Public School,1315 Division Street,0
2008,127-152,2008cp.pdf,Mayoralty-Related,200,General Funds,Source,700000,2008,0,0,127-152_2008,"Funds are needed to provide local support for heritage tourism capital projects. To be eligible, projects must be consistent with the recommendations of the Baltimore City Heritage Area (BCHA) Management Plan.",Baltimore City Heritage Area Projects,Various,0
2008,127-155,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,1090000,2008,0,0,127-155_2008,Funding is needed for renovations of the 32 year old Waxter Center. These renovations would include upgrade or replacement of needed building systems and redesign of parts of the building to meet the needs of 21st century seniors.,Waxter Center for Senior Citizens,1000 Cathedral St,NA
2008,127-155,2008cp.pdf,Mayoralty-Related,200,General Funds,Source,84000,2008,0,0,127-155_2008,Funding is needed for renovations of the 32 year old Waxter Center. These renovations would include upgrade or replacement of needed building systems and redesign of parts of the building to meet the needs of 21st century seniors.,Waxter Center for Senior Citizens,1000 Cathedral St,NA
2008,127-155,2008cp.pdf,Mayoralty-Related,503,Community Development Block Grants,Source,100000,2008,0,450000,127-155_2008,Funding is needed for renovations of the 32 year old Waxter Center. These renovations would include upgrade or replacement of needed building systems and redesign of parts of the building to meet the needs of 21st century seniors.,Waxter Center for Senior Citizens,1000 Cathedral St,NA
2008,127-155,2008cp.pdf,Mayoralty-Related,590,Other Federal Funds,Source,0,2008,0,0,127-155_2008,Funding is needed for renovations of the 32 year old Waxter Center. These renovations would include upgrade or replacement of needed building systems and redesign of parts of the building to meet the needs of 21st century seniors.,Waxter Center for Senior Citizens,1000 Cathedral St,NA
2008,127-155,2008cp.pdf,Mayoralty-Related,690,Other State Funds,Source,1000000,2008,0,0,127-155_2008,Funding is needed for renovations of the 32 year old Waxter Center. These renovations would include upgrade or replacement of needed building systems and redesign of parts of the building to meet the needs of 21st century seniors.,Waxter Center for Senior Citizens,1000 Cathedral St,NA
2008,127-155,2008cp.pdf,Mayoralty-Related,908,Other Private Funds & Grants,Source,1070000,2008,0,0,127-155_2008,Funding is needed for renovations of the 32 year old Waxter Center. These renovations would include upgrade or replacement of needed building systems and redesign of parts of the building to meet the needs of 21st century seniors.,Waxter Center for Senior Citizens,1000 Cathedral St,NA
2008,127-165,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,0,127-165_2008,This project funds a new Upton Cultural Visitor Center/Museum to augment Pennsylvania Avenue Main Street Initiatives and a 2.5 mile Heritage Trail.,Upton Cultural Vistor Center,1102 W. Freemont Ave,0
2008,127-166,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,200000,127-166_2008,This project funds a series of Babe Ruth Museum modifications and a planned restructuring of gallery and administrative space.,Babe Ruth Museum Renovation Project,216 Emory Street,0
2008,127-456,2008cp.pdf,Mayoralty-Related,954,Loan and Guarantee Funds,Source,0,2008,0,2500000,127-456_2008,A private non-profit supporting organization for the Baltimore School for the Arts has undertaken an expansion and renovation of the School of Arts.,Baltimore School for the Arts,712 Cathedral Street,0
2008,127-764,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,350000,127-764_2008,"This project funds the Arena Players` theatre seating replacement, and the expansion of its concession and ticket booth areas.",Arena Players-Possible Dream II,"Arena Players, Inc 801 McCulloh Street",0
2008,127-765,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,400000,127-765_2008,"For the expansion of operating space from 15,000 to 120,000 sq ft of new museum space as part of a $75 million capital campaign as reflected in the master plan.",National Great Blacks in Wax Museum Expansion,"1600 Block of North Ave, 1800 Block of Broadway",0
2008,127-766,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,200000,127-766_2008,This project funds a series of Center Stage modifications to include lobby and box repairs and exterior improvements.,Center Stage`s Leading National Theater Initiative,"700 N. Calvert Street, Baltimore MD 21202",0
2008,127-767,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,0,127-767_2008,This project funds B&O Railroad Museum pavilion improvements for community and special events.,B&O Storage Pavillion,901 West Pratt Street,0
2008,127-768,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,200000,127-768_2008,"This project funds the Reginald F. Lewis Museum`s new Children`s Discovery Room, new permanent art exhibit, and an upgrade to facility equipment.",Reginald F. Lewis Museum - Permanent Exhibits and Facility Enhancements,830 E. Pratt Street,0
2008,127-769,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,375000,2008,0,150000,127-769_2008,"This project funds Creative Allliance at The Patterson. Renovations include HVAC repair, a theater expansion, a media center and café improvements.",Creative Alliance-The Patterson,"3134 Eastern Avenue, Baltimore Md",0
2008,127-776,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,0,127-776_2008,This project funds the Sankofa Cultural Center`s studio theater conversion to a multipurpose community arts facility.,Sankofa Cultural Center,2901 Druid Park Drive,0
2008,127-779,2008cp.pdf,Mayoralty-Related,100,General Obligation Bonds,Source,0,2008,0,300000,127-779_2008,This project funds the design and renovation of the existing Heritage and Education Center on Pier1 of the Inner Harbor to serve as a gateway to the National Historic Seaport of Baltimore City.,USS Constellation Museum-Heritage & Education Center,"Pier 1, 301 East Pratt Street",0
2008,127-913,2008cp.pdf,Mayoralty-Related,200,General Funds,Source,0,2008,0,200000,127-913_2008,This request is to allow the City to be a partner in various senior center improvements. In FY 2008 CARE proposes City participation in renovation of the former Hollins Payson Library building as a new home for the Southwest Senior Center.,Various Senior Center Improvements,Various,0
2008,146-033,2008cp.pdf,Department of Finance - Construction Program,200,General Funds,Source,5000000,2008,0,5000000,146-033_2008,This project is for the replacement of the City`s financial/general ledger system. The current system which is more than 30 years old will no longer be supported by new programmers or vendors and needs to be replaced.,Finance General Ledger System,City Hall,0
2008,188-009,2008cp.pdf,Planning Department,100,General Obligation Bonds,Source,1400000,2008,0,750000,188-009_2008,This on-going program funds the implementation of Comprehensive Master Plan initiatives along with Community Area Plans and Historic Preservation initiatives.,Planning Department Initiatives,Various,0
2008,188-009,2008cp.pdf,Planning Department,200,General Funds,Source,250000,2008,0,0,188-009_2008,This on-going program funds the implementation of Comprehensive Master Plan initiatives along with Community Area Plans and Historic Preservation initiatives.,Planning Department Initiatives,Various,0
2008,188-009,2008cp.pdf,Planning Department,800,City Motor Vehicle Revenue Funds,Source,0,2008,0,0,188-009_2008,This on-going program funds the implementation of Comprehensive Master Plan initiatives along with Community Area Plans and Historic Preservation initiatives.,Planning Department Initiatives,Various,0
2008,188-010,2008cp.pdf,Planning Department,100,General Obligation Bonds,Source,0,2008,0,200000,188-010_2008,This on-going program funds the maintenance of over 250 monuments & statues in the City of Baltimore that the CHAP is charged with maintaining.,CHAP Monument Restoration,City wide,0
2008,197-134,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,3192000,2008,0,0,197-134_2008,"The asbestos management program needs funding for the asbestos inspection abatement program, employee training and program management for all City agencies. This program is to insure that the City remains in compliance with Federal and State Laws.",Asbestos Management Program,Various,0
2008,197-134,2008cp.pdf,DPW: General Services,200,General Funds,Source,10788000,2008,0,0,197-134_2008,"The asbestos management program needs funding for the asbestos inspection abatement program, employee training and program management for all City agencies. This program is to insure that the City remains in compliance with Federal and State Laws.",Asbestos Management Program,Various,0
2008,197-145,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,500000,2008,0,0,197-145_2008,"Install new windows to replace the rotted, rusted frames & incr. the efficiency & savings of the recently installed energy modifications for lighting, plumbing & HVAC; replace new toilet partitions & ceiling tiles in different sections of the building.",Peoples Court Window Replacement,501 E Fayette Street,0
2008,197-145,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,460000,197-145_2008,"Install new windows to replace the rotted, rusted frames & incr. the efficiency & savings of the recently installed energy modifications for lighting, plumbing & HVAC; replace new toilet partitions & ceiling tiles in different sections of the building.",Peoples Court Window Replacement,501 E Fayette Street,0
2008,197-411,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,100000,197-411_2008,The elevator system in the Guilford Avenue Municipal Building needs to be upgraded to improve operation and meet existing codes.,Guilford Building Elevator Upgrades,210 North Guilford Avenue,NA
2008,197-412,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,0,197-412_2008,"The elevators in Courthouse East are old and require frequent repairs due to breakdowns and problems with proper operation. These elevators need to be upgraded to provide dependable operation and meet existing codes, including ADA regulations.",Courthouse East Elevator Upgrades,111 North Calvert Street,NA
2008,197-412,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-412_2008,"The elevators in Courthouse East are old and require frequent repairs due to breakdowns and problems with proper operation. These elevators need to be upgraded to provide dependable operation and meet existing codes, including ADA regulations.",Courthouse East Elevator Upgrades,111 North Calvert Street,NA
2008,197-413,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-413_2008,"The elevators in the Mitchell Courthouse are old and require frequent repairs due to breakdowns and problems with proper operation. These elevators need to be upgraded to provide dependable operation and meet existing codes, including ADA regulations.",Mitchell Courthouse Elevator Upgrades,100 North Calvert Street,0
2008,197-414,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,0,197-414_2008,The windows in Courthouse East are near the end of their useful life and need to be replaced.,Courthouse East Windows Replacement,111 North Calvert Street,NA
2008,197-415,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,0,197-415_2008,The windows in the Mitchell Courthouse are near the end of their useful life and need to be replaced.,Mitchell Courthouse Windows Replacement,100 North Calvert Street,NA
2008,197-415,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-415_2008,The windows in the Mitchell Courthouse are near the end of their useful life and need to be replaced.,Mitchell Courthouse Windows Replacement,100 North Calvert Street,NA
2008,197-416,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-416_2008,Replace and upgrade the elevator system in the Abel Wolman Municipal Building.,Abel Wolman Municipal Building Elevator Upgrades,200 North Holliday Street,0
2008,197-417,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-417_2008,Replaceme and upgrade the elevator system in City Hall.,City Hall Elevator Upgrades,100 North Holliday Street,0
2008,197-418,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-418_2008,Replaceme and upgrade the elevator system in Peoples Court.,Peoples Court Elevators Upgrades,501 East Fayette Street,NA
2008,197-513,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,1120000,2008,0,0,197-513_2008,Exterior stone work on City Hall needs to be repaired to prevent material from falling to the sidewalk and to prevent moisture infiltration.,City Hall Exterior Surface Repairs,100 N. Holliday Street,0
2008,197-513,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,410000,197-513_2008,Exterior stone work on City Hall needs to be repaired to prevent material from falling to the sidewalk and to prevent moisture infiltration.,City Hall Exterior Surface Repairs,100 N. Holliday Street,0
2008,197-516,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,100000,197-516_2008,Various improvements to City buildings and properties to comply with Americans with Disabilities Act (ADA) requirements.,ADA Interior and Exterior Improvements,Various,0
2008,197-517,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,100000,197-517_2008,Exterior repair of historic City buildings.,Historic Buildings Exterior Preservation Repairs,Various,NA
2008,197-518,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-518_2008,Complete improvements to the City Council Chambers entrance and balcony area to rectify damage from water infiltration.,City Council Chamber Improvements,100 North Holliday Street,0
2008,197-615,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,320000,197-615_2008,The electrical system in City Hall needs to be upgraded to provide adequate power needs and meet current building codes.,City Hall Electrical System Upgrade,100 N. Holliday Street,NA
2008,197-616,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,100000,197-616_2008,The electrical system in the Abel Wolman Building needs to be upgraded to provide power needs and meet current building codes.,Abel Wolman Building Electrical System Upgrade,200 N. Holliday Street,0
2008,197-617,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,100000,197-617_2008,New state-of-the-art fire alarm systems need to be installed in the Park Heights multi-purpose center and the Eastern Health Center.,Park Heights Multipurpose and Eastern Health Center Fire Alarm Upgrades,3939 Reisterstown Road & 620 North Caroline Street,NA
2008,197-619,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-619_2008,The electrical system in Courthouse East needs to be upgraded to provide adequate power needs and meet current building codes.,Courthouse East Electrical Upgrade,111 North Calvert Street,NA
2008,197-620,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-620_2008,The electrical system in the Mitchell Courthouse needs to be upgraded to provide adequate power needs and meet current building codes.,Mitchell Courthouse Electrical Upgrade,100 North Calvert Street,NA
2008,197-621,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-621_2008,Replace HVAC fan coil units in the Abel Wolman Building.,Abel Wolman Building HVAC Fan Coil Unit Replacement,200 N. Holliday Street,0
2008,197-622,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-622_2008,Replace unit ventilators that serve various City buildings,Unit Ventilators Replacement,Various Buildings,0
2008,197-623,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-623_2008,This project will make modifications to the fourth floor of the Police Headquarters building to convert the HVAC system to accept chilled water from Comfort Link.,Police Headquarters 4th Floor Comfort Link Conversion,601 East Fayette Street,0
2008,197-830,2008cp.pdf,DPW: General Services,200,General Funds,Source,450000,2008,0,0,197-830_2008,"This project includes the environmental remediation of City right-of-way and real property, contaminated by hazardous materials. Remediation is required by EPA regulations as stipulated in EPA-issued Administrative Order of Consent.",68th Street Dump Site Environmental Remediation,68th Street Dump Site Environmental Remediation,0
2008,197-830,2008cp.pdf,DPW: General Services,800,City Motor Vehicle Revenue Funds,Source,450000,2008,0,100000,197-830_2008,"This project includes the environmental remediation of City right-of-way and real property, contaminated by hazardous materials. Remediation is required by EPA regulations as stipulated in EPA-issued Administrative Order of Consent.",68th Street Dump Site Environmental Remediation,68th Street Dump Site Environmental Remediation,0
2008,197-831,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,240000,197-831_2008,The heating system at the Eastern Health Center has reached the end of its useful life and needs replacing.,Eastern Health Center HVAC Upgrades,620 North Caroline Street,0
2008,197-833,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,100000,197-833_2008,"The heating, ventilating and air conditioning (HVAC) units on the roof of the Park Heights Multipurpose Center need to be replaced.",Park Heights Multipurpose Center HVAC,3939 Reisterstown Road,NA
2008,197-834,2008cp.pdf,DPW: General Services,100,General Obligation Bonds,Source,0,2008,0,280000,197-834_2008,The water supply system in the Abel Wolmlan Municipal Building is old and needs to be replaced.,Abel Wolman Municipal Building Water Service Replacement,200 North Holliday Street,NA
2008,197-834,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,300000,197-834_2008,The water supply system in the Abel Wolmlan Municipal Building is old and needs to be replaced.,Abel Wolman Municipal Building Water Service Replacement,200 North Holliday Street,NA
2008,197-836,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,500000,197-836_2008,Funds will be used for design services. Proposed site is current location of Pimlico Middle School.,New Police/Fire Academy,Pimlico Middle School,0
2008,197-840,2008cp.pdf,DPW: General Services,800,City Motor Vehicle Revenue Funds,Source,370000,2008,0,130000,197-840_2008,This project includes the remediation of contaminated soil in the I-95 right-of-way at 2000 Race Street.,Race Street Environmental Remediation,2000 Race Street,NA
2008,197-843,2008cp.pdf,DPW: General Services,200,General Funds,Source,0,2008,0,0,197-843_2008,Improve the 800 MHz public safety SONET fiber ring.,800 MHz SONET Ring Improvements,Various Tower Sites,0
2008,208-005,2008cp.pdf,Fire Department,100,General Obligation Bonds,Source,0,2008,0,0,208-005_2008,Improve the outdoor warning system in the Inner Harbor and install a text notification system for citizens & government.,Office of Emergency Management,Baltimore City Fire Department,0
2008,208-006,2008cp.pdf,Fire Department,100,General Obligation Bonds,Source,0,2008,0,0,208-006_2008,The Fire Academy needs to expand its capabilities for training and build a new multi-purpose training and apparatus storage buildings. Security upgrades include fencing and automatic gates.,Fire Academy - Modernization,6720 Pulaski Hwy,0
2008,208-006,2008cp.pdf,Fire Department,200,General Funds,Source,0,2008,0,0,208-006_2008,The Fire Academy needs to expand its capabilities for training and build a new multi-purpose training and apparatus storage buildings. Security upgrades include fencing and automatic gates.,Fire Academy - Modernization,6720 Pulaski Hwy,0
2008,208-006,2008cp.pdf,Fire Department,901,Sale of City Real Property,Source,0,2008,0,0,208-006_2008,The Fire Academy needs to expand its capabilities for training and build a new multi-purpose training and apparatus storage buildings. Security upgrades include fencing and automatic gates.,Fire Academy - Modernization,6720 Pulaski Hwy,0
2008,208-200,2008cp.pdf,Fire Department,100,General Obligation Bonds,Source,0,2008,0,0,208-200_2008,"Various fire stations need to be modernized by replacing HVAC systems, insulated overhead doors, diesel exhaust systems, masonry, ceiling repairs, and windows. Current work is being completed for replacement of roofs at various fire house locations.",Fire Station Facilities - Modernization,Various,359000
2008,208-200,2008cp.pdf,Fire Department,200,General Funds,Source,0,2008,0,100000,208-200_2008,"Various fire stations need to be modernized by replacing HVAC systems, insulated overhead doors, diesel exhaust systems, masonry, ceiling repairs, and windows. Current work is being completed for replacement of roofs at various fire house locations.",Fire Station Facilities - Modernization,Various,359000
2008,312-322,2008cp.pdf,Health Department,200,General Funds,Source,0,2008,0,0,312-322_2008,"This project is for a new HVAC system, ceiling tiles, light fixtures, interior painting, bathroom fixtures, exam room, exhaust fan, security cameras and monitors, and elevator.",Eastern Health Center,620 North Caroline Street,0
2008,312-323,2008cp.pdf,Health Department,200,General Funds,Source,0,2008,0,0,312-323_2008,This building is over 50 years old and houses five major community clinics for western Baltimore City. Funds are needed for repairs and a comprehensive renovation.,Druid Health Center,1515 West North Avenue,0
2008,417-123,2008cp.pdf,City School System - Systemics Program,100,General Obligation Bonds,Source,0,2008,0,9539000,417-123_2008,The FY08-FY13 projects will be focusing on systemic improvements to include projects consistent with the BCPSS Facilities Solutions Plan. Implementation is contingent on receiving the required state funding.,FY08-FY13 BCPSS Systemics/Receiver Schools/Asbestos Abatement,Various,0
