fiscal_year,cip_number,cip_year_id,filename,project_title,location,project_desc,amt_type,operating_impact_amt,appropriated_amt,agency_amt,planning_amt,bof_amt,boe_amt,bureau_program,bureau_name,contract_number
2024,117-059,117-059_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Upgrade Application Integration and Infrastructure,Baltimore City,"BCIT will upgrade and enhance applications, web assets, and mainframe systems components to provide reliability and enhanced functionality to agencies and to improve the end-user experience of constituents who interact with the City electronically.",Total,0,250000,6200000,1800000,1800000,1800000,117,Baltimore City Office of Infor,NA
2024,117-071,117-071_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"BCIT is proposing several capital projects to enhance and modernize public safety communication systems to ensure the safety of residents, sustainable operability, and advanced functions.",Total,0,50000,14100000,4000000,4000000,4000000,117,Baltimore City Office of Infor,NA
2024,117-072,117-072_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Citiwatch Camera Upgrades,Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,Total,0,0,0,0,0,0,117,Baltimore City Office of Infor,NA
2024,117-079,117-079_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"Funding will be used to secure, maintain and improve the City's IT infrastructure. These projects aim to provide city employees and residents with secure, reliable, and stable systems in an increasingly digital and remote environment.",Total,0,50000,4000000,1200000,1200000,1200000,117,Baltimore City Office of Infor,NA
2023,117-029,117-029_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Citywide Cyber Security Systems Upgrade,Baltimore City,"As the City continues to expand its remote work capabilities, the risk of disclosing sensitive information grows. This project will reduce the risk of disclosing sensitive information and improve the City's security posture.",Total,0,2400000,400000,400000,400000,400000,117,Baltimore City Office of Infor,NA
2023,117-048,117-048_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,"Replace Unmanaged Network Hubs, Cables and Swithches",Baltimore City,"This project will remove and replace unmanaged network hubs, cables and switches.  As BCIT continues to modernize the City's IT systems, the agency has discovered a backlog of upgrades. Failure to address can lead systemic network performance issues.",Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2023,117-055,117-055_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Speed and Reliability of Public Safety Communications,Baltimore City,"Migrate existing T1 speed circuits to City owned fiber circuits for better and more cost effective radio service and coverage for 911 communications, police and fire emergency dispatch services.",Total,0,0,316000,316000,316000,316000,117,Baltimore City Office of Infor,NA
2023,117-059,117-059_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Application Integration and Infrastructure,Baltimore City,"Upgrade integration integrity and security of data transfers between enterprise applications. Examples include: Salesforce, CHIP, and City Works, Workday, and Unifier.",Total,0,0,250000,250000,250000,250000,117,Baltimore City Office of Infor,NA
2023,117-060,117-060_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Baltimore City's Resident Facing Web Assets and Applications,Baltimore City,"Upgrade Baltimore City's resident-facing web assets in order to improve the user experience of businesses, residents and others who interact with the City electronically.",Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2023,117-061,117-061_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Mainframe Components to Modern and Flexible Computing Platform,Baltimore City,Replace the City’s mainframe applications to reduce the reliance on the outdated mainframe and reduce the technical risk associated with the mainframe.,Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2023,117-067,117-067_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Switch Request (100),Baltimore City,This project will replace the end-of-support network switches and establish a routine replacement schedule for this critical piece of network equipment that is used to connect City employees to the resources they need to perform daily operations.,Total,0,0,450000,450000,450000,450000,117,Baltimore City Office of Infor,NA
