fiscal_year,cip_number,cip_year_id,project_title,location,project_desc,FY,amt_type,operating_impact_amt,appropriated_amt,agency_amt,planning_amt,bof_amt,boe_amt,budget_amt,total_amt,source,source_code,source_name,bureau_program,bureau_name,contract_number,has_prior_appropriation,has_prior_request,request_year_min,request_year_max,request_year_list,n_request_year,request_year_range,budget_year_min,budget_year_max,n_budget_year
2024,117-059,117-059_2024,Upgrade Application Integration and Infrastructure,Baltimore City,"BCIT will upgrade and enhance applications, web assets, and mainframe systems components to provide reliability and enhanced functionality to agencies and to improve the end-user experience of constituents who interact with the City electronically.",FY2024,Source,0,250000,6200000,1800000,1800000,1800000,1800000,2050000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2022,2024,,3,3,2022,2024,3
2024,117-059,117-059_2024,Upgrade Application Integration and Infrastructure,Baltimore City,"BCIT will upgrade and enhance applications, web assets, and mainframe systems components to provide reliability and enhanced functionality to agencies and to improve the end-user experience of constituents who interact with the City electronically.",FY2024,Total,0,250000,6200000,1800000,1800000,1800000,1800000,2050000,NA,NA,NA,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2022,2024,,3,3,2022,2024,3
2024,117-071,117-071_2024,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"BCIT is proposing several capital projects to enhance and modernize public safety communication systems to ensure the safety of residents, sustainable operability, and advanced functions.",FY2024,Source,0,50000,14100000,4000000,4000000,4000000,1000000,1050000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2023,2024,,2,2,2023,2024,2
2024,117-071,117-071_2024,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"BCIT is proposing several capital projects to enhance and modernize public safety communication systems to ensure the safety of residents, sustainable operability, and advanced functions.",FY2024,Total,0,50000,14100000,4000000,4000000,4000000,1000000,1050000,NA,NA,NA,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2023,2024,,2,2,2023,2024,2
2024,117-072,117-072_2024,Citiwatch Camera Upgrades,Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,FY2024,Source,0,0,0,0,0,0,1000000,1000000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2023,2024,,2,2,2023,2024,2
2024,117-072,117-072_2024,Citiwatch Camera Upgrades,Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,FY2024,Total,0,0,0,0,0,0,1000000,1000000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2023,2024,,2,2,2023,2024,2
2024,117-079,117-079_2024,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"Funding will be used to secure, maintain and improve the City's IT infrastructure. These projects aim to provide city employees and residents with secure, reliable, and stable systems in an increasingly digital and remote environment.",FY2024,Source,0,50000,4000000,1200000,1200000,1200000,1200000,1250000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2023,2024,,2,2,2023,2024,2
2024,117-079,117-079_2024,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"Funding will be used to secure, maintain and improve the City's IT infrastructure. These projects aim to provide city employees and residents with secure, reliable, and stable systems in an increasingly digital and remote environment.",FY2024,Total,0,50000,4000000,1200000,1200000,1200000,1200000,1250000,NA,NA,NA,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2023,2024,,2,2,2023,2024,2
2023,117-029,117-029_2023,Citywide Cyber Security Systems Upgrade,Baltimore City,"As the City continues to expand its remote work capabilities, the risk of disclosing sensitive information grows. This project will reduce the risk of disclosing sensitive information and improve the City's security posture.",FY2023,Source,0,0,400000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2019,2023,,5,5,2019,2023,5
2023,117-029,117-029_2023,Citywide Cyber Security Systems Upgrade,Baltimore City,"As the City continues to expand its remote work capabilities, the risk of disclosing sensitive information grows. This project will reduce the risk of disclosing sensitive information and improve the City's security posture.",FY2023,Source,0,2400000,0,400000,400000,400000,400000,2800000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2019,2023,,5,5,2019,2023,5
